trial,data,prompt,cot,metaphor (num of invalid),metaphor,literal (num of invalid),literal,anomaly (num of invalid),anomaly
2,Metaphors_and_Analogies_Pairs_Cardillo_set_test,1,True,1,65.25096525096525,,,,
3,Metaphors_and_Analogies_Pairs_Cardillo_set_test,3,True,190,71.42857142857143,,,,
2,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,1,True,1,47.89915966386555,4.0,77.58620689655173,5.0,72.17391304347827
3,Metaphors_and_Analogies_Quadruples_Green_set_test,2,True,11,51.724137931034484,7.0,63.63636363636363,4.0,41.66666666666667
3,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,3,True,90,76.66666666666667,90.0,83.33333333333334,90.0,53.333333333333336
2,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,3,True,96,83.33333333333334,96.0,91.66666666666666,96.0,62.5
2,Metaphors_and_Analogies_Quadruples_Green_set_test,2,True,12,60.71428571428571,3.0,51.35135135135135,11.0,41.37931034482759
3,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,1,True,1,52.94117647058824,7.0,77.87610619469027,1.0,73.10924369747899
2,Metaphors_and_Analogies_Pairs_Cardillo_set_test,3,True,182,76.92307692307693,,,,
3,Metaphors_and_Analogies_Pairs_Cardillo_set_test,1,True,2,63.17829457364341,,,,
1,Metaphors_and_Analogies_Quadruples_Green_set_test,3,True,11,44.827586206896555,11.0,51.724137931034484,11.0,51.724137931034484
4,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,1,True,2,54.23728813559322,5.0,75.65217391304347,0.0,71.66666666666667
5,Metaphors_and_Analogies_Quadruples_Green_set_test,2,True,8,56.25,5.0,60.0,8.0,46.875
1,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,2,True,29,47.25274725274725,7.0,83.1858407079646,21.0,60.60606060606061
5,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,3,True,91,89.65517241379311,91.0,82.75862068965517,91.0,72.41379310344827
4,Metaphors_and_Analogies_Pairs_Cardillo_set_test,1,True,0,64.61538461538461,,,,
5,Metaphors_and_Analogies_Pairs_Cardillo_set_test,3,True,178,75.60975609756098,,,,
1,Metaphors_and_Analogies_Pairs_Cardillo_set_test,2,True,31,58.515283842794766,,,,
4,Metaphors_and_Analogies_Pairs_Cardillo_set_test,3,True,181,73.41772151898735,,,,
5,Metaphors_and_Analogies_Pairs_Cardillo_set_test,1,True,2,66.66666666666666,,,,
4,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,3,True,83,70.27027027027027,83.0,83.78378378378379,83.0,59.45945945945946
1,Metaphors_and_Analogies_Quadruples_Green_set_test,1,True,0,55.00000000000001,0.0,65.0,0.0,40.0
4,Metaphors_and_Analogies_Quadruples_Green_set_test,2,True,6,58.82352941176471,4.0,47.22222222222222,9.0,29.03225806451613
5,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,1,True,1,54.621848739495796,1.0,78.15126050420169,5.0,67.82608695652173
2,Metaphors_and_Analogies_Quadruples_Green_set_test,1,True,0,57.49999999999999,0.0,65.0,0.0,42.5
3,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,2,True,25,52.63157894736842,11.0,75.22935779816514,18.0,62.745098039215684
3,Metaphors_and_Analogies_Quadruples_Green_set_test,3,True,8,59.375,8.0,59.375,8.0,68.75
3,Metaphors_and_Analogies_Pairs_Cardillo_set_test,2,True,33,59.471365638766514,,,,
2,Metaphors_and_Analogies_Pairs_Cardillo_set_test,2,True,45,64.18604651162791,,,,
2,Metaphors_and_Analogies_Quadruples_Green_set_test,3,True,13,51.85185185185185,13.0,59.25925925925925,13.0,59.25925925925925
2,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,2,True,23,47.42268041237113,13.0,73.83177570093457,23.0,64.94845360824742
3,Metaphors_and_Analogies_Quadruples_Green_set_test,1,True,0,52.5,0.0,67.5,1.0,35.8974358974359
5,Metaphors_and_Analogies_Pairs_Cardillo_set_test,2,True,39,59.72850678733032,,,,
1,Metaphors_and_Analogies_Pairs_Cardillo_set_test,3,True,178,70.73170731707317,,,,
1,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,3,True,85,82.85714285714286,85.0,80.0,85.0,74.28571428571429
4,Metaphors_and_Analogies_Quadruples_Green_set_test,1,True,0,47.5,0.0,62.5,0.0,45.0
5,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,2,True,22,44.89795918367347,11.0,79.81651376146789,18.0,60.78431372549019
1,Metaphors_and_Analogies_Quadruples_Green_set_test,2,True,9,54.83870967741935,6.0,47.05882352941176,3.0,32.432432432432435
5,Metaphors_and_Analogies_Quadruples_Green_set_test,3,True,12,50.0,12.0,50.0,12.0,64.28571428571429
4,Metaphors_and_Analogies_Quadruples_Green_set_test,3,True,11,51.724137931034484,11.0,51.724137931034484,11.0,51.724137931034484
1,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,1,True,2,50.847457627118644,5.0,72.17391304347827,1.0,72.26890756302521
4,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,2,True,26,52.12765957446809,7.0,71.68141592920354,27.0,59.13978494623656
5,Metaphors_and_Analogies_Quadruples_Green_set_test,1,True,0,52.5,0.0,65.0,0.0,47.5
1,Metaphors_and_Analogies_Pairs_Cardillo_set_test,1,True,1,66.02316602316603,,,,
4,Metaphors_and_Analogies_Pairs_Cardillo_set_test,2,True,31,64.19213973799127,,,,
2,Metaphors_and_Analogies_Pairs_Cardillo_set_test,1,False,1,77.99227799227799,,,,
3,Metaphors_and_Analogies_Pairs_Cardillo_set_test,3,False,229,74.19354838709677,,,,
2,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,1,False,0,68.33333333333333,1.0,78.15126050420169,11.0,64.22018348623854
3,Metaphors_and_Analogies_Quadruples_Green_set_test,2,False,0,55.00000000000001,0.0,72.5,4.0,61.111111111111114
3,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,3,False,112,87.5,112.0,87.5,112.0,87.5
2,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,3,False,112,87.5,112.0,87.5,112.0,100.0
2,Metaphors_and_Analogies_Quadruples_Green_set_test,2,False,0,57.49999999999999,0.0,72.5,3.0,59.45945945945946
3,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,1,False,1,70.58823529411765,1.0,78.99159663865547,9.0,61.261261261261254
2,Metaphors_and_Analogies_Pairs_Cardillo_set_test,3,False,224,77.77777777777779,,,,
3,Metaphors_and_Analogies_Pairs_Cardillo_set_test,1,False,0,76.92307692307693,,,,
1,Metaphors_and_Analogies_Quadruples_Green_set_test,3,False,0,72.5,0.0,72.5,0.0,72.5
4,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,1,False,1,71.42857142857143,1.0,78.15126050420169,7.0,62.83185840707964
5,Metaphors_and_Analogies_Quadruples_Green_set_test,2,False,0,57.49999999999999,0.0,72.5,1.0,61.53846153846154
1,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,2,False,0,73.33333333333333,0.0,90.0,3.0,75.21367521367522
5,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,3,False,114,83.33333333333334,114.0,100.0,114.0,83.33333333333334
4,Metaphors_and_Analogies_Pairs_Cardillo_set_test,1,False,0,76.92307692307693,,,,
5,Metaphors_and_Analogies_Pairs_Cardillo_set_test,3,False,228,75.0,,,,
1,Metaphors_and_Analogies_Pairs_Cardillo_set_test,2,False,1,73.35907335907336,,,,
4,Metaphors_and_Analogies_Pairs_Cardillo_set_test,3,False,225,65.71428571428571,,,,
5,Metaphors_and_Analogies_Pairs_Cardillo_set_test,1,False,0,77.3076923076923,,,,
4,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,3,False,109,100.0,109.0,90.9090909090909,109.0,90.9090909090909
1,Metaphors_and_Analogies_Quadruples_Green_set_test,1,False,0,60.0,0.0,67.5,1.0,33.33333333333333
4,Metaphors_and_Analogies_Quadruples_Green_set_test,2,False,0,57.49999999999999,1.0,71.7948717948718,2.0,57.89473684210527
5,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,1,False,2,71.1864406779661,1.0,77.31092436974791,8.0,62.5
2,Metaphors_and_Analogies_Quadruples_Green_set_test,1,False,0,60.0,0.0,72.5,1.0,43.58974358974359
3,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,2,False,1,73.10924369747899,2.0,90.67796610169492,4.0,74.13793103448276
3,Metaphors_and_Analogies_Quadruples_Green_set_test,3,False,0,55.00000000000001,0.0,62.5,0.0,67.5
3,Metaphors_and_Analogies_Pairs_Cardillo_set_test,2,False,0,73.07692307692307,,,,
2,Metaphors_and_Analogies_Pairs_Cardillo_set_test,2,False,0,73.46153846153847,,,,
2,Metaphors_and_Analogies_Quadruples_Green_set_test,3,False,0,57.49999999999999,0.0,70.0,0.0,57.49999999999999
2,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,2,False,0,71.66666666666667,1.0,90.75630252100841,1.0,75.63025210084034
3,Metaphors_and_Analogies_Quadruples_Green_set_test,1,False,0,65.0,0.0,65.0,0.0,30.0
5,Metaphors_and_Analogies_Pairs_Cardillo_set_test,2,False,0,73.46153846153847,,,,
1,Metaphors_and_Analogies_Pairs_Cardillo_set_test,3,False,222,78.94736842105263,,,,
1,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,3,False,107,92.3076923076923,107.0,92.3076923076923,107.0,92.3076923076923
4,Metaphors_and_Analogies_Quadruples_Green_set_test,1,False,0,60.0,0.0,67.5,1.0,41.02564102564102
5,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,2,False,0,72.5,0.0,87.5,2.0,70.33898305084746
1,Metaphors_and_Analogies_Quadruples_Green_set_test,2,False,0,60.0,0.0,75.0,5.0,51.42857142857142
5,Metaphors_and_Analogies_Quadruples_Green_set_test,3,False,0,60.0,0.0,67.5,0.0,57.49999999999999
4,Metaphors_and_Analogies_Quadruples_Green_set_test,3,False,0,67.5,0.0,80.0,0.0,65.0
1,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,1,False,0,70.83333333333334,1.0,78.99159663865547,8.0,63.39285714285714
4,Metaphors_and_Analogies_Pairs_Jankowiac_set_test,2,False,0,73.33333333333333,1.0,89.91596638655463,2.0,76.27118644067797
5,Metaphors_and_Analogies_Quadruples_Green_set_test,1,False,0,55.00000000000001,0.0,65.0,1.0,38.46153846153847
1,Metaphors_and_Analogies_Pairs_Cardillo_set_test,1,False,1,77.60617760617761,,,,
4,Metaphors_and_Analogies_Pairs_Cardillo_set_test,2,False,0,74.23076923076923,,,,
